node,tp
TopQuery/StreamInfKmeans_D0Top/MemoryContainer265,2
TopQuery/StreamInfKmeans_D0Top/MemoryContainer303,2
TopQuery/StreamInfKmeans_D0Top/MemoryContainer343,2
TopQuery/StreamInfKmeans_D0Top/MemoryContainer374,2
TopQuery/StreamInfKmeans_D0Top/MemoryContainer422,2
TopQuery/StreamInfKmeans_D0Top/ArgFringe3,0
TopQuery/StreamInfKmeans_D0Top/ComputeContainer2766,4
TopQuery/StreamInfKmeans_D0Top/ComputeContainer2767,4
TopQuery/StreamInfKmeans_D0Top/ComputeContainer1379,4
TopQuery/StreamInfKmeans_D0Top/ComputeContainer1383,4
TopQuery/StreamInfKmeans_D0Top/ComputeContainer2662,4
TopQuery/StreamInfKmeans_D0Top/ComputeContainer2669,4
TopQuery/StreamInfKmeans_D0Top/ComputeContainer1382,4
TopQuery/StreamInfKmeans_D0Top/ComputeContainer1384,4
TopQuery/StreamInfKmeans_D0Top/ComputeContainer2680,3
TopQuery/StreamInfKmeans_D0Top/ComputeContainer2674,3
TopQuery/StreamInfKmeans_D0Top/ComputeContainer2692,3
TopQuery/StreamInfKmeans_D0Top/ComputeContainer2686,3
TopQuery/StreamInfKmeans_D0Top/ComputeContainer1377,3
TopQuery/StreamInfKmeans_D0Top/ComputeContainer1380,3
TopQuery/StreamInfKmeans_D0Top/ComputeContainer1381,3
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/mergeTree/pcu_1,4
/TopQuery/TopDB/loadGroupBy_load,3
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl3,3
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl2,3
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl1,3
/TopQuery/TopDB/storeGroupBy_store,3
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu1,2
/TopQuery/TopDB/storeMux_store,3
/TopQuery/TopDB/mux_mux,4
/TopQuery/TopDB/loadMatJoin_load,3
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu2,2
/TopQuery/TopDB/storeJoin_store,3
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/mergeTree/pcu_0,4
/TopQuery/TopDB/sortGroupBy_sort/blockSort/storeCtrl,3
/TopQuery/TopDB/joinDemux_demux,4
/TopQuery/TopDB/join_join,4
/TopQuery/TopDB/groupBy_groupby,4
/TopQuery/TopDB/loadBJoin_load,3
/TopQuery/TopDB/loadAJoin_load,3
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/mergeTree/pcu_2,4
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/storeCtrl,3
/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_2,4
/TopQuery/TopDB/sortGroupBy_sort/blockSort/loadCtrl,3
/TopQuery/TopDB/sortB_sort/mergeSort/storeCtrl,3
/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl1,3
/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl0,3
/TopQuery/TopDB/sortB_sort/blockSort/pmu1,2
/TopQuery/TopDB/sortB_sort/blockSort/pmu0,2
/TopQuery/TopDB/sortA_sort/mergeSort/storeCtrl,3
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu1,4
/TopQuery/TopDB/loadB_tableLoad/load3,3
/TopQuery/TopDB/loadA_tableLoad/muxTree/mux_pcu,4
/TopQuery/TopDB/loadB_tableLoad/muxTree/mux1,4
/TopQuery/TopDB/loadA_tableLoad/load1,3
/TopQuery/TopDB/sortB_sort/blockSort/pcu0,4
/TopQuery/TopDB/loadB_tableLoad/load1,3
/TopQuery/TopDB/loadB_tableLoad/load2,3
/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl1,3
/TopQuery/TopDB/sortB_sort/blockSort/storeCtrl,3
/TopQuery/TopDB/loadB_tableLoad/load4,3
/TopQuery/TopDB/loadA_tableLoad/load0,3
/TopQuery/TopDB/loadB_tableLoad/load0,3
/TopQuery/TopDB/loadA_tableLoad/load2,3
/TopQuery/TopDB/loadA_tableLoad/load3,3
/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_1,4
/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl3,3
/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_0,4
/TopQuery/TopDB/storeB_store,3
/TopQuery/TopDB/storeA_store,3
/TopQuery/TopDB/loadB_tableLoad/muxTree/mux_head,4
/TopQuery/TopDB/sortB_sort/mergeSort/loadCtrl2,3
/TopQuery/TopDB/loadB_tableLoad/load6,3
/TopQuery/TopDB/sortA_sort/blockSort/loadCtrl,3
/TopQuery/TopDB/loadB_tableLoad/load5,3
/TopQuery/TopDB/sortA_sort/blockSort/storeCtrl,3
/TopQuery/TopDB/sortB_sort/blockSort/pcu1,4
/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_2,4
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pcu0,4
/TopQuery/TopDB/sortA_sort/blockSort/pcu0,4
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu3,2
/TopQuery/TopDB/sortA_sort/blockSort/pcu1,4
/TopQuery/TopDB/loadB_tableLoad/muxTree/mux0,4
/TopQuery/TopDB/sortB_sort/blockSort/loadCtrl,3
/TopQuery/TopDB/DBMLTokenConvert,4
/TopQuery/TopDB/sortB_sort/blockSort/pmu2,2
/TopQuery/TopDB/sortA_sort/blockSort/pmu0,2
/TopQuery/TopDB/sortB_sort/mergeSort/mergeTree/pcu_0,4
/TopQuery/TopDB/sortA_sort/blockSort/pmu1,2
/TopQuery/TopDB/sortGroupBy_sort/mergeSort/loadCtrl0,3
/TopQuery/TopDB/sortA_sort/blockSort/pmu2,2
/TopQuery/TopDB/sortA_sort/blockSort/pmu3,2
/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl0,3
/TopQuery/TopDB/sortB_sort/blockSort/pmu3,2
/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl2,3
/TopQuery/TopDB/sortA_sort/mergeSort/loadCtrl3,3
/TopQuery/TopDB/sortGroupBy_sort/blockSort/pmu0,2
/TopQuery/TopDB/sortA_sort/mergeSort/mergeTree/pcu_1,4
